公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,24805702,松山三民分公司,臺北市松山區富泰里三民路108號地下,1,1050115,1091230,121.5637036,25.0579687
16740494,全聯實業股份有限公司,24805739,天母天玉分公司,臺北市士林區天玉里天母西路3號地下,1,1050115,1060808,121.5293523,25.1185552
16740494,全聯實業股份有限公司,24805745,蘆洲民權分公司,新北市蘆洲區民族路31號,1,1050115,1110511,121.4773476,25.0852506
16740494,全聯實業股份有限公司,24805822,台中三和分公司,臺中市南屯區黎明路2段68、70號,1,1050118,1100201,120.6373131,24.1442482
16740494,全聯實業股份有限公司,24805837,三重光明分公司,新北市三重區集美街241號,3,1050118,1070529,121.492225,25.055216
16740494,全聯實業股份有限公司,24805843,新莊建中分公司,新北市新莊區建中街62號1樓,1,1050118,1070621,121.448076,25.037335
16740494,全聯實業股份有限公司,24805885,台中仁和分公司,臺中市南區國光路198號,1,1050118,1130704,120.6790525,24.1265677
16740494,全聯實業股份有限公司,24805891,大安泰順分公司,臺北市大安區泰順街45號,1,1050118,1090407,121.5312946,25.0226946
16740494,全聯實業股份有限公司,24805908,中山晴光分公司,臺北市中山區晴光里林森北路575-1、575-3、575-4、575-6、575-7、575-8、575-9號,1,1050119,1100616,121.5258321,25.0650983
16740494,全聯實業股份有限公司,24805914,台中水湳分公司,臺中市北屯區中清路2段392、398、406號,1,1050119,1091106,120.6674924,24.1800679
16740494,全聯實業股份有限公司,24805920,亞東捷運分公司,新北市板橋區南雅南路二段122-23號1樓,1,1050119,1131210,121.4518997,24.9972136
16740494,全聯實業股份有限公司,24805983,中山長春分公司,臺北市中山區長春路258巷6號,1,1050120,1101209,121.538196,25.0545479
16740494,全聯實業股份有限公司,24805999,台中東海分公司,臺中市龍井區新興路87號,1,1050120,1130111,120.584922,24.1818273
16740494,全聯實業股份有限公司,24806006,新埔捷運分公司,新北市板橋區文化路1段360號地下1層之31、32,1,1050120,1130513,121.3725582,24.9360562
16740494,全聯實業股份有限公司,24806131,長治潭頭分公司,屏東縣長治鄉新潭村潭頭路86號,1,1050125,1080211,120.5254434,22.6755345
16740494,全聯實業股份有限公司,24806287,台中大鵬分公司,臺中市西屯區大鵬路107號,1,1050127,1120710,120.6633121,24.1779417
16740494,全聯實業股份有限公司,24806391,信義松隆分公司,臺北市信義區松隆路125號,1,1050130,1050602,121.5718393,25.0469939
16740494,全聯實業股份有限公司,24806420,內湖葫洲分公司,臺北市內湖區民權東路6段296巷20號,1,1050205,1071107,121.6059503,25.0723353
16740494,全聯實業股份有限公司,24806462,宜蘭校舍分公司,宜蘭縣宜蘭市新東里校舍路116號,1,1050130,       ,121.7616467,24.7514924
16740494,全聯實業股份有限公司,24806792,中和宜安分公司,新北市中和區安平路109號,1,1050202,1050608,121.5113733,24.9976914
16740494,全聯實業股份有限公司,24806879,台中西屯分公司,臺中市西屯區西屯路3段157之1號,1,1050219,1100308,120.6203601,24.1869369
16740494,全聯實業股份有限公司,24806913,花蓮太昌分公司,花蓮縣花蓮市建國路2段262、266號,1,1050204,1070611,121.5783905,23.9918613
16740494,全聯實業股份有限公司,24807125,斗六文化分公司,雲林縣斗六市文化路65號,1,1050215,1110407,120.548129,23.7111831
16740494,全聯實業股份有限公司,24807146,台中美村分公司,臺中市西區五權五街68號,1,1050216,1130408,120.6624582,24.13673
16740494,全聯實業股份有限公司,24807167,苓雅正義分公司,高雄市苓雅區正義路248號,1,1050216,1110411,120.3411184,22.6327626
16740494,全聯實業股份有限公司,24807217,鳳山武營分公司,高雄市鳳山區武營路236號,1,1050217,1130606,120.3374692,22.6112804
16740494,全聯實業股份有限公司,24807498,永和比漾分公司,新北市永和區中山路1段238號地下2層,3,1050219,       ,121.4165214,24.9618615
